Gene ID	'10 day' vs '7 day' in 'wild type' .foldChange	'12 day' vs '7 day' in 'wild type' .foldChange	'13 day' vs '7 day' in 'wild type' .foldChange	'15 day' vs '7 day' in 'wild type' .foldChange	'8 day' vs '7 day' in 'wild type' .foldChange	'val1 mutant' vs 'wild type' at '10 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '13 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '15 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '7 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '8 days after pollination' .foldChange
AT1G05550	5.7	7.2	7.2	6.1	1.5	NA				
AT1G05560	1.9	1.3	NA	NA	NA	NA		1.5		
AT1G05570	NA	-1.5	-1.7	-2.8	NA	NA				
AT1G05577	-1.8	-3.2	-3.6	-5	NA	NA				
AT1G05580	-2.9	-3	-3.5	-4.3	NA	NA				
AT1G05590	NA	NA	-1.3	-1.7	NA	NA				
AT1G05600	-1.2	-1.5	NA	NA	NA	NA				
AT1G05610	NA	4.1	NA	NA	NA	NA				
AT1G05620	2	2.1	1.8	NA	NA	NA				
AT1G05630	NA	NA	-1.2	-3.2	NA	NA		1.5		
AT1G05640	NA	NA	-1.3	-3.4	NA	NA				
AT1G05670	NA	NA	1.2	1.2	NA	NA				
AT1G05680	NA	NA	NA	8.9	NA	NA				
AT1G05690	3.9	5.9	6.6	6.9	NA	NA				
AT1G05710	-1.2	-1.2	NA	NA	NA	NA				
AT1G05730	-2.4	-2.1	-1.2	1.1	-1.1	NA		-1.3		
AT1G05780	NA	1.3	1.4	1.7	NA	NA				
AT1G05785	NA	NA	1.3	1.7	NA	NA				
AT1G05790	1.9	2.8	3.1	2.8	NA	NA				
AT1G05805	-3	-4.5	-6.1	-6	NA	NA				
AT1G05810	NA	1.8	2.4	2.6	NA	NA				
AT1G05830	NA	NA	1.1	NA	NA	NA				
AT1G05835	NA	NA	-2.5	-5.7	NA	NA				
AT1G05840	1.3	1.6	1.3	NA	NA	NA				
AT1G05850	2.6	3.2	3.1	2.4	NA	NA				
AT1G05870	NA	NA	-1.2	-2.3	NA	NA				
AT1G05890	NA	NA	1.3	1.8	NA	NA				
AT1G05894	NA	2	3.1	3.7	NA	NA				
AT1G05900	NA	NA	NA	1.2	NA	NA				
AT1G05940	NA	NA	NA	1.5	NA	NA				
AT1G05950	-1.9	-2.5	-3.2	-5.2	NA	NA				
AT1G05960	NA	NA	1.4	1.9	NA	NA				
AT1G06000	NA	1.4	NA	NA	NA	NA				
AT1G06010	NA	NA	NA	1.2	NA	NA				
AT1G06040	NA	NA	NA	-1.6	NA	NA				
AT1G06060	NA	NA	NA	1.7	NA	NA				
AT1G06080	-2.1	-4.5	-5.7	-8.5	NA	NA	1.6			
AT1G06110	NA	NA	1.3	2.7	NA	NA				
AT1G06130	NA	NA	NA	1.2	NA	NA				
AT1G06140	-1.4	-1.2	NA	NA	NA	NA				
AT1G06148	NA	5	6.9	7.6	NA	NA				
AT1G06150	NA	-1.5	-1.3	NA	NA	NA				
AT1G06180	NA	NA	NA	-3.1	NA	NA		1.1		
AT1G06190	-2.2	-2.2	-1.8	-1.1	NA	NA				
AT1G06210	NA	NA	NA	1.3	NA	NA				
AT1G06220	-1.1	NA	NA	NA	NA	NA				
AT1G06230	NA	NA	NA	1.1	NA	NA				
AT1G06240	NA	NA	NA	-1.8	NA	NA				
AT1G06265	1.2	NA	1.7	1.6	NA	NA				
AT1G06310	-2.6	-3.6	-4.8	-8.1	NA	NA				
AT1G06350	-3.5	NA	NA	-4	NA	NA				
AT1G06360	NA	-2.5	-5.1	-5.9	1.4	1.3				
AT1G06370	NA	NA	1.7	2	NA	NA				
AT1G06380	-1.2	NA	NA	NA	NA	NA				
AT1G06390	NA	NA	NA	-2.2	NA	NA				
AT1G06400	NA	NA	NA	2	NA	NA				
AT1G06420	NA	-2.3	-3.5	-8.4	NA	NA				
AT1G06430	2.1	2.5	2.5	2.1	NA	NA				
AT1G06440	-2	-1.3	NA	NA	NA	NA				
AT1G06460	2	1.6	NA	1.3	1.8	NA				
AT1G06475	NA	NA	-1.2	-4	NA	NA				
AT1G06490	4.1	2.7	2	NA	NA	1.2	3.2	4.2		
AT1G06510	NA	NA	NA	-1.2	NA	NA				
AT1G06515	NA	NA	-1.2	-2.1	NA	NA				
AT1G06520	-1.6	NA	1.4	1.2	NA	NA				
AT1G06530	-1.1	NA	NA	NA	NA	NA				
AT1G06550	NA	NA	NA	-3.3	NA	NA				
AT1G06560	-1.4	NA	NA	-1.2	NA	NA				
AT1G06570	1.8	3.1	3.4	4.1	NA	NA				
AT1G06590	-2.5	-2.3	-2	-1.7	NA	NA				
AT1G06620	NA	NA	NA	4.5	NA	NA				
AT1G06630	NA	NA	1.1	1.1	NA	NA				
AT1G06640	3.4	4.7	4.4	2.3	NA	NA				
AT1G06645	5.9	8.9	10.4	11.6	NA	NA				
AT1G06650	1.8	2	1.9	2.2	NA	NA				
AT1G06660	-2.9	-4.9	-5.7	-5.5	NA	NA				
AT1G06680	NA	-2.6	-4.1	-7.2	NA	NA				
AT1G06690	NA	NA	NA	1.1	NA	NA				
AT1G06720	-1.3	NA	NA	NA	NA	NA				
AT1G06730	-1.3	NA	NA	-1.2	NA	NA				
AT1G06750	2.3	3.3	4	NA	NA	NA				
AT1G06760	NA	NA	-1.4	NA	NA	NA				
AT1G06770	NA	NA	NA	NA	NA	NA		1.3		
AT1G06790	NA	NA	NA	-1.2	NA	NA				
AT1G06850	NA	NA	NA	-5	NA	NA		1.4		
AT1G06870	NA	-1.1	-1.5	-1.2	NA	NA				
AT1G06920	NA	NA	NA	NA	NA	NA		1.4		
AT1G06950	-2.6	-2.7	-2.5	-1.9	NA	NA				
AT1G06980	NA	NA	NA	-2.3	NA	NA				
AT1G07010	1.6	2.1	1.9	NA	NA	NA				
AT1G07040	1.2	NA	NA	1.2	NA	NA				
AT1G07070	-1.9	-2.2	-2.4	-3.1	NA	NA				
AT1G07080	NA	NA	NA	2.2	NA	NA				
AT1G07119	-2.1	NA	NA	NA	NA	NA				
AT1G07120	-1.9	NA	NA	1.4	NA	NA				
AT1G07130	-1.4	NA	NA	NA	NA	NA				
AT1G07135	NA	NA	NA	NA	1.1	1.1		1.2		
AT1G07150	4.4	5.2	5.4	4.8	NA	NA				
AT1G07175	NA	NA	NA	NA	NA	1.9	4.1	4		
AT1G07180	1.7	1.3	NA	3.5	1.2	NA				
AT1G07200	NA	NA	NA	-1.9	NA	NA		1.2		
AT1G07210	-1.7	-1.7	-1.6	-1.4	NA	NA				
