Gene ID	'10 day' vs '7 day' in 'wild type' .foldChange	'12 day' vs '7 day' in 'wild type' .foldChange	'13 day' vs '7 day' in 'wild type' .foldChange	'15 day' vs '7 day' in 'wild type' .foldChange	'8 day' vs '7 day' in 'wild type' .foldChange	'val1 mutant' vs 'wild type' at '10 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '13 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '15 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '7 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '8 days after pollination' .foldChange
AT1G07220	-1.2	NA	NA	NA	NA	NA				
AT1G07230	1.3	2	2	2.1	NA	NA				
AT1G07240	NA	NA	2.4	4.1	NA	1.4				
AT1G07250	-1.8	-2.6	-2.7	NA	NA	NA				
AT1G07270	-3.5	-5	-7.7	-7.7	NA	NA				
AT1G07280	4.2	4.5	4.2	NA	1.3	NA	1.5	3		
AT1G07300	1.6	2	2.3	2.4	NA	NA				
AT1G07310	NA	1.2	1.4	2.3	NA	NA				
AT1G07320	-2.8	-4	-4.4	-5	NA	NA				
AT1G07350	NA	NA	NA	2	NA	NA				
AT1G07370	-4.5	-7.6	-8.7	-9	NA	NA				
AT1G07380	1.3	1.4	1.3	NA	NA	NA				
AT1G07390	-1.4	NA	NA	NA	NA	NA				
AT1G07400	1.1	1.4	1.3	4.4	NA	NA				
AT1G07410	2	2.7	3	2.7	NA	NA				
AT1G07420	1.3	1.9	2.4	2.5	NA	NA				
AT1G07430	2.9	6.3	8.9	11.8	NA	NA	-1.7			
AT1G07440	-1.1	-4	-4.3	-4.9	NA	1.4	1.5			
AT1G07450	NA	NA	NA	-5.1	NA	NA	1.3			
AT1G07473	NA	1.9	4.3	7.6	NA	NA	-2.6	-1.4		
AT1G07485	2.4	2.6	NA	NA	NA	NA				
AT1G07490	1.3	1.2	NA	-5.8	NA	NA				
AT1G07500	5.3	7.8	9.2	11.9	NA	NA	-1.2			
AT1G07510	NA	NA	1.1	1.5	NA	NA				
AT1G07530	1.1	1.2	1.5	2.3	NA	NA				
AT1G07540	NA	NA	NA	4.5	NA	NA				
AT1G07570	NA	NA	-1.1	-1.7	NA	NA				
AT1G07590	NA	1.5	NA	1.4	NA	NA				
AT1G07615	-1.8	-1.5	NA	NA	NA	NA				
AT1G07630	NA	1.2	2	1.3	NA	NA				
AT1G07640	2.5	1.8	NA	NA	NA	NA				
AT1G07645	5.4	8.5	9.9	11.9	NA	2.4				
AT1G07650	2.2	2.5	2.1	NA	NA	NA		1.5		
AT1G07720	-2.6	-3.5	-3.2	-4.5	NA	NA				
AT1G07745	1.2	1.1	1.4	1.3	NA	NA				
AT1G07750	NA	-1.9	-3.2	-1.8	NA	NA		-1.4		
AT1G07770	-1.5	-1.9	-1.9	-2.9	NA	NA				
AT1G07790	-2.9	-3.6	-3.8	-3.5	NA	NA				
AT1G07820	-2.2	-2.4	-2.4	-1.7	NA	NA				
AT1G07830	-1.9	-1.9	-1.7	-1.2	NA	NA				
AT1G07870	NA	1.1	NA	NA	NA	NA				
AT1G07880	2.1	NA	NA	-3.9	NA	NA				
AT1G07890	-1.4	-2.4	-3.2	-3.9	NA	NA				
AT1G07910	NA	NA	NA	1.5	NA	NA				
AT1G07920	-1.2	-1.2	-1.3	-1.3	NA	NA				
AT1G07930	-2	-2.1	-1.8	-2	NA	NA				
AT1G07940	-1.5	-1.5	-1.6	-1.6	NA	NA				
AT1G07950	NA	NA	-1.1	NA	NA	NA				
AT1G07970	-1.2	-1.3	-1.4	-1.2	NA	NA				
AT1G07985	9.1	12.2	13.7	16.1	1.1	NA				
AT1G07990	NA	NA	1.1	1.2	NA	NA				
AT1G08000	NA	NA	-1.2	NA	NA	NA				
AT1G08035	-2.7	-5.7	-3.6	-3.8	NA	NA				
AT1G08040	1.3	1.6	1.7	1.9	NA	NA				
AT1G08050	NA	NA	NA	4.6	NA	NA	-1.5			
AT1G08060	NA	1.1	1.1	1.2	NA	NA				
AT1G08070	-1.8	NA	NA	NA	NA	NA				
AT1G08115	NA	2.1	NA	2.2	NA	NA				
AT1G08130	NA	NA	NA	-1.2	NA	NA				
AT1G08140	-2.3	-2.9	-4.6	-5.4	NA	NA				
AT1G08150	-3	-2.8	-4.6	-4.6	NA	NA				
AT1G08165	NA	NA	NA	7	NA	NA				
AT1G08170	NA	6.2	9.1	13.6	NA	NA	-1.8			
AT1G08180	NA	1.8	2.2	2.1	NA	NA				
AT1G08190	NA	NA	NA	1.3	NA	NA				
AT1G08200	NA	1.1	NA	NA	NA	NA				
AT1G08210	-1.1	NA	NA	1.1	NA	NA				
AT1G08220	-1.3	NA	NA	NA	NA	NA				
AT1G08230	NA	3.2	4.8	5.9	NA	NA		1.2		
AT1G08250	1.7	2.3	2	1.4	NA	NA				
AT1G08260	NA	NA	-1.1	-2.3	NA	NA				
AT1G08270	NA	NA	1.1	1.4	NA	NA				
AT1G08300	3.1	2.7	2.9	2.5	NA	NA				
AT1G08310	3.5	5.2	5.5	6.3	NA	NA				
AT1G08315	1.3	1.7	1.7	1.8	NA	NA				
AT1G08340	6.5	8.9	9.7	9.2	1.1	NA				
AT1G08350	NA	NA	NA	-2.9	NA	NA				
AT1G08360	-1.1	-1.2	-1.2	-2.3	NA	NA				
AT1G08380	NA	-2.5	-4.7	-7	NA	NA				
AT1G08390	-1.1	-1.3	-1.4	NA	NA	NA				
AT1G08400	-1.1	-1.5	-1.7	NA	NA	NA				
AT1G08410	-1.4	-1.1	NA	NA	NA	NA				
AT1G08420	NA	NA	1.4	2	NA	NA				
AT1G08450	NA	-1.1	-1.2	-1.2	NA	NA				
AT1G08460	NA	NA	NA	1.3	NA	NA				
AT1G08470	NA	NA	NA	-1.9	NA	NA				
AT1G08500	-1.1	NA	2.2	1.9	NA	NA				
AT1G08520	-1.5	-3.1	-3.6	-4.1	NA	NA				
AT1G08540	-1.4	-2.2	-2.3	-2.9	NA	NA				
AT1G08560	-3	-5.2	-7.1	-8.8	NA	NA	1.1			
AT1G08570	1.8	2.6	3.2	4.2	NA	NA				
AT1G08580	-2	-1.8	-1.6	-1.5	NA	NA				
AT1G08590	1.3	2.9	3.5	2.7	NA	NA				
AT1G08610	-2.9	-2.8	-2.9	-2.2	NA	NA	-1.1	-1.5		
AT1G08630	1.9	2	1.7	NA	NA	NA				
AT1G08640	-1.3	-1.4	-1.3	NA	NA	NA				
AT1G08650	1.8	1.6	1.3	1.2	NA	NA				
AT1G08660	1.2	NA	NA	NA	NA	NA				
AT1G08670	NA	NA	NA	NA	NA	NA	1.8	1.4		
AT1G08730	NA	NA	NA	-1.6	NA	NA	-1.2			
AT1G08780	-1.1	-1.2	-1.1	NA	NA	NA				
AT1G08800	1.5	2.1	2.7	2.9	NA	NA				
AT1G08840	-2.3	-2.2	-1.2	NA	NA	NA				
AT1G08845	-1.7	-1.6	-1.1	NA	NA	NA				
AT1G08860	-2.2	-2.2	-2.8	-2.8	NA	NA				
AT1G08880	-2.4	-2.6	-2.6	-2.3	NA	NA				
AT1G08900	NA	-3.5	-3	-4.5	NA	NA				
AT1G08910	NA	NA	1.5	1.5	NA	NA				
AT1G08920	1.8	NA	NA	NA	1.1	NA				
AT1G08930	-3.2	NA	NA	-3.7	NA	NA				
AT1G08940	3.2	3	2.7	2.5	NA	NA				
AT1G08980	-1.3	-1.9	-2.7	-3.1	NA	NA				
AT1G08985	-5.1	-5.5	-5.8	-5.9	-1.7	NA				
AT1G08990	NA	3.6	NA	NA	NA	NA				
AT1G09000	-2.5	-3.5	-3.8	-3.1	NA	NA				
AT1G09010	NA	NA	NA	-1.3	NA	NA				
AT1G09040	NA	NA	NA	-1.5	NA	NA				
AT1G09050	NA	NA	-1.2	-4.5	NA	NA				
AT1G09070	NA	NA	NA	NA	NA	NA		1.1		
AT1G09130	NA	-1.1	NA	NA	NA	NA				
AT1G09140	NA	1.2	1.9	3.4	NA	NA				
AT1G09155	7.4	9.5	10.1	10.2	NA	NA				
AT1G09157	NA	NA	NA	NA	NA	NA	2			
AT1G09160	NA	NA	-1.4	-3.1	NA	NA				
AT1G09170	3.4	NA	NA	NA	NA	NA				
AT1G09180	-2.9	-5.1	-8	-7.1	NA	NA				
AT1G09190	-2.9	-2.6	-1.7	NA	NA	NA				
AT1G09200	-3.8	-6.1	-7.9	-9.1	NA	NA	1.2			
AT1G09210	NA	-2.5	-3.7	-5.2	NA	NA	1.4	1.1		
AT1G09220	-1.4	-1.7	NA	NA	NA	NA				
AT1G09250	1.1	1.6	1.3	1.2	NA	NA				
AT1G09300	-2.3	-1.4	NA	NA	NA	NA				
AT1G09310	-3.8	-1.5	NA	-1.2	NA	NA	-1.6			
AT1G09320	-1.3	-1.2	NA	NA	NA	NA				
AT1G09340	NA	-1.6	-2.2	-3.2	NA	NA				
AT1G09370	-3.9	-4.2	-5.2	-5.2	NA	NA				
AT1G09380	-2.6	NA	-2.7	NA	NA	NA				
AT1G09390	NA	NA	NA	-3.6	NA	NA				
AT1G09415	1.1	1.2	1.8	NA	NA	NA				
AT1G09430	1.3	NA	NA	NA	NA	NA				
AT1G09450	-3	-5.1	-7.8	-6.4	NA	NA				
AT1G09460	NA	-2	-3.2	-5.3	NA	NA				
AT1G09470	-1.8	-4.1	-5.7	-8.9	NA	NA	1.4			
AT1G09480	-2.9	-3.5	-3.9	-3.6	NA	NA				
AT1G09500	3.8	3.9	4	3.6	2	NA				
AT1G09510	NA	NA	NA	NA	-1.4	NA				
AT1G09530	NA	NA	NA	1.4	NA	NA				
AT1G09540	-2.6	NA	-3.5	-5.7	NA	NA				
AT1G09550	NA	NA	-4.3	-7.2	NA	NA	2.6			
AT1G09560	NA	1.1	1.4	2.3	NA	NA				
AT1G09575	NA	NA	NA	-2.5	NA	NA	1.3			
AT1G09580	NA	NA	NA	-1.7	NA	NA				
AT1G09590	-2.1	-2.3	-2.5	-3.4	NA	NA				
AT1G09600	NA	NA	NA	-2.2	NA	NA				
AT1G09610	-2	NA	NA	NA	NA	NA				
AT1G09630	-1.4	-2.1	-2.9	-4.3	NA	NA				
AT1G09640	NA	NA	NA	-1.3	NA	NA				
AT1G09645	1.4	1.6	1.5	1.1	NA	NA				
AT1G09650	-1.5	-1.7	NA	NA	NA	NA				
AT1G09660	NA	NA	-1.6	-2.7	NA	NA				
AT1G09665	NA	NA	6.2	9	NA	NA	-1.9	-1.7		
AT1G09680	NA	NA	NA	1.2	NA	NA				
AT1G09690	-1.5	-1.8	-1.8	-3	NA	NA				
AT1G09700	NA	NA	NA	-1.4	NA	NA				
AT1G09740	NA	NA	1.3	2.7	NA	NA				
AT1G09750	NA	-5.3	-6.8	-8.5	1.5	NA	1.4			
AT1G09760	-1.4	-1.6	-1.6	-1.4	NA	NA				
AT1G09780	-2.2	-4.2	-6.2	-7.5	NA	-1.1			-1.1	-1.5
AT1G09790	-2.3	-2.6	NA	-4.7	-1.2	NA				
AT1G09794	NA	1.4	2	2.8	NA	NA				
AT1G09795	NA	-1.1	NA	NA	NA	NA				
AT1G09800	NA	-1.6	-1.3	-1.5	NA	NA				
AT1G09812	4.2	3.5	2.8	NA	1.1	NA				
AT1G09830	-2.7	-3.1	-3.3	-3.7	NA	NA				
AT1G09850	-3.5	-3	-4	NA	NA	NA				
AT1G09870	NA	-1.1	-1.5	-1.2	NA	NA				
AT1G09880	NA	NA	-4.2	-3.4	1.7	NA				
AT1G09900	-2.9	-2.8	-2.7	-2	NA	NA				
AT1G09910	1.1	1.1	1.2	1.4	NA	NA				
AT1G09920	NA	NA	NA	1.1	NA	NA				
AT1G09940	NA	NA	NA	1.7	NA	NA				
AT1G09950	2.6	4.4	4.9	4.8	NA	NA				
AT1G09960	2	2.3	2.1	NA	NA	NA				
AT1G09970	1.5	2.6	3.9	5.8	NA	NA				
AT1G09980	NA	NA	1.2	NA	NA	NA				
AT1G09995	NA	NA	NA	-3	NA	NA				
AT1G10000	NA	NA	1.3	1.9	NA	NA				
AT1G10010	NA	2.9	3.1	NA	NA	1.9	2	2.6		
AT1G10020	NA	NA	NA	-1.9	NA	NA				
AT1G10030	NA	NA	-1.1	-1.2	NA	NA				
AT1G10040	NA	2.4	3.3	3.1	NA	NA				
AT1G10060	-1.1	-3.4	-2.7	-4.4	NA	NA		2.2		
AT1G10070	NA	4.4	6.6	8.1	NA	NA	-1.6			
AT1G10090	NA	1.1	1.3	NA	NA	NA				
AT1G10095	NA	NA	NA	1.1	NA	NA				
AT1G10120	1.5	1.4	NA	NA	NA	NA				
AT1G10130	1.2	NA	NA	NA	NA	NA				
AT1G10140	NA	NA	NA	3	NA	NA				
AT1G10150	NA	NA	NA	-1.3	NA	NA		1.2		
AT1G10160	NA	NA	1.1	NA	NA	-2.6	-3.3	-2.2	-1.5	-2.1
AT1G10170	NA	NA	NA	1.2	NA	NA				
AT1G10200	NA	NA	NA	-4.4	NA	NA		1.8		
AT1G10210	1.6	1.9	2	1.6	NA	NA				
AT1G10230	-2.4	-2.7	-2.7	-3.2	NA	NA				
AT1G10270	-2	-1.2	NA	NA	NA	NA				
AT1G10290	-1.2	-1.6	-1.8	-2.5	NA	NA				
AT1G10300	NA	NA	2.2	3.6	NA	NA		-1.1		
AT1G10310	-1.4	NA	NA	2	NA	NA				
AT1G10320	NA	1.2	1.6	2	NA	NA				
AT1G10330	NA	NA	-1.2	-1.1	NA	NA				
AT1G10350	1.2	NA	NA	NA	NA	NA				
AT1G10360	NA	-1.6	-3.3	-6.6	NA	NA				
AT1G10370	NA	-2.3	-2.5	-2.4	NA	NA				
AT1G10410	2	2.2	1.8	1.3	NA	NA				
AT1G10417	NA	-1.6	-2.7	-4.3	NA	NA				
AT1G10470	NA	NA	NA	-1.4	NA	NA				
AT1G10490	-2.4	-1.7	-1.1	NA	NA	NA				
AT1G10500	NA	NA	1.2	2	NA	NA				
AT1G10510	-1.8	-1.8	-1.7	-1.2	NA	NA				
AT1G10520	NA	NA	NA	-1.8	NA	NA				
AT1G10522	-3.4	-3.8	-3.6	-2.9	NA	NA				
AT1G10530	NA	NA	3	3.6	NA	NA				
AT1G10540	-2.8	-2.9	-6.9	-7.7	NA	NA				
AT1G10570	1.7	1.8	1.7	NA	NA	NA				
AT1G10590	NA	NA	-1.1	-1.5	NA	NA				
AT1G10600	NA	NA	NA	1.5	NA	NA				
AT1G10610	1.4	1.4	1.7	1.4	NA	NA				
AT1G10630	NA	-1.3	-1.8	-3.7	NA	NA				
AT1G10640	NA	-3.2	-7	-9.6	NA	NA	1.9			
AT1G10650	NA	NA	-1.2	-1.1	NA	NA				
AT1G10657	-1.8	-4.5	-6.7	-7.3	NA	NA				
AT1G10660	NA	NA	NA	1.2	NA	NA				
AT1G10670	NA	NA	-2	-3.9	NA	NA				
AT1G10680	NA	-3.9	-4.2	NA	NA	4.5	6.5	5.5		1.1
AT1G10682	-2.8	NA	NA	NA	NA	NA				
AT1G10690	4.2	4.7	5.2	4.7	1.4	NA				
AT1G10710	NA	NA	NA	-2	NA	NA				
AT1G10730	1.2	NA	NA	NA	NA	NA				
AT1G10740	NA	1.2	1.1	NA	NA	NA		1.1		
AT1G10750	NA	NA	NA	-3.2	NA	NA		1.7		
AT1G10770	-1.9	-2.5	-2	-2.1	NA	NA				
AT1G10780	-2.9	-4.5	-4.9	-5.6	NA	NA				
AT1G10790	-2.6	NA	NA	-4.1	NA	NA				
AT1G10840	-1.2	-1.4	-1.2	-1.2	NA	NA				
AT1G10850	NA	-1.5	-2.8	-5.1	NA	NA	1.2			
AT1G10865	NA	NA	NA	2.7	NA	NA				
AT1G10870	NA	1.1	NA	NA	NA	NA				
AT1G10880	-5.6	-7.1	-6.7	-7.8	NA	NA				
AT1G10890	NA	1.1	1.4	1.2	NA	NA				
AT1G10920	NA	NA	NA	-2	NA	NA				
AT1G10930	-2.2	-2.6	-2.5	-2.4	NA	NA				
AT1G10960	-1.6	-3.4	-5	-7.4	NA	NA	1.1			
AT1G10970	1.6	NA	NA	NA	NA	NA				
AT1G10990	-2.7	-5	-5.4	-5.2	NA	NA				
AT1G11000	NA	NA	NA	-3.3	NA	NA				
AT1G11020	NA	1.2	1.5	2	NA	NA				
AT1G11050	NA	2.7	3.7	4.6	NA	NA				
AT1G11070	3.1	2.1	NA	-4.9	1.4	NA	1.2			
AT1G11100	-2	-1.5	-1.4	NA	NA	NA				
AT1G11112	NA	-1.4	-2.9	-7.5	NA	NA				
AT1G11120	NA	NA	NA	-3.1	NA	NA				
AT1G11125	NA	-1.3	-2.5	-3.1	NA	NA				
AT1G11130	-1.4	-2.8	-4.6	-7	NA	NA	1.1			
AT1G11150	NA	NA	NA	1.4	NA	NA				
AT1G11160	-1.6	-1.9	-2.5	-5.7	NA	NA				
AT1G11170	2.5	3.1	3.6	3.3	NA	NA				
AT1G11175	1.5	2.5	3.4	4.6	NA	NA				
AT1G11180	-1.7	NA	NA	NA	NA	NA				
AT1G11220	-2.9	-5.7	-6.2	-6.9	NA	NA				
AT1G11240	-1.2	NA	NA	NA	NA	NA				
AT1G11250	NA	NA	NA	5.2	NA	NA				
AT1G11260	NA	1.4	2.9	4.6	NA	NA	-1.2			
AT1G11270	NA	NA	NA	-1.1	NA	NA				
AT1G11280	1.5	1.9	1.9	NA	NA	NA				
AT1G11290	-1.8	-1.3	NA	-1.9	NA	NA				
AT1G11300	1.9	2.8	3.3	2.6	NA	NA				
AT1G11310	NA	NA	-1.1	-1.3	NA	NA				
AT1G11330	1.3	1.7	1.6	NA	NA	NA				
AT1G11350	1.9	2.5	3.2	2.9	NA	NA				
AT1G11360	NA	NA	1.1	2.1	NA	NA				
AT1G11370	NA	NA	NA	4.9	NA	NA				
AT1G11410	NA	NA	NA	1.1	NA	NA				
AT1G11420	NA	NA	NA	-2.8	NA	NA				
AT1G11430	-2.3	-2.7	-2.3	-1.3	NA	NA				
AT1G11440	2.1	3.2	4.7	6.3	NA	NA				
AT1G11460	NA	3.5	5.3	9.6	NA	NA				
AT1G11475	-1.3	NA	NA	NA	NA	NA				
AT1G11530	3.7	3.3	3.8	4.9	1.1	NA		1.2		
AT1G11540	-3.7	-4	-3.5	NA	NA	NA				
AT1G11545	2.2	2.4	1.7	-1.4	NA	NA		1.6		
AT1G11572	NA	NA	NA	NA	NA	NA	2.1			
AT1G11580	1.9	2.7	1.8	NA	NA	NA				
AT1G11590	-2.1	NA	-3	-3	NA	NA				
AT1G11593	-5.6	-6.5	-6.8	-6.9	-2.3	NA				
AT1G11595	NA	NA	NA	3.8	NA	NA				
AT1G11650	NA	NA	NA	1.3	NA	NA				
AT1G11660	NA	NA	NA	-1.8	NA	NA				
AT1G11670	NA	NA	-1.6	-4.8	NA	NA		1.5		
AT1G11680	NA	NA	NA	-2.3	NA	NA				
AT1G11700	4.8	6	6.2	6.7	1.7	NA				
AT1G11710	-1.1	NA	NA	NA	NA	NA				
AT1G11720	1.2	NA	NA	NA	NA	NA				
AT1G11730	1.3	NA	NA	-3.6	NA	NA				
AT1G11735	4.1	4.9	4.1	NA	NA	NA				
AT1G11740	1.5	2.7	3.4	1.7	NA	1.6	1.1	1.5		
AT1G11750	-1.3	-1.7	-1.6	NA	NA	NA				
AT1G11765	-2.7	-4.2	-4.4	-5	NA	NA				
AT1G11770	NA	-3.2	-4.1	-4.2	NA	NA				
AT1G11785	3.3	5.2	6	7.5	NA	NA				
AT1G11790	1.7	1.6	1.4	NA	NA	NA				
AT1G11840	1.6	1.7	1.8	1.8	NA	NA				
AT1G11850	-2.9	NA	NA	NA	NA	NA				
AT1G11860	NA	-1.8	-1.8	-1.8	NA	NA				
AT1G11870	-1.6	-1.8	-1.5	-1.4	NA	NA				
AT1G11910	1.4	1.9	2	2.5	NA	NA				
AT1G11915	3.6	7.6	6.7	NA	NA	NA				
AT1G11930	NA	NA	NA	2	NA	NA				
AT1G11940	1.5	2	2.5	2.5	NA	NA				
AT1G11950	-1.5	-1.9	-2	-2	NA	NA				
AT1G11960	NA	NA	-1.1	-1.9	NA	NA				
AT1G11990	NA	NA	-3.8	NA	NA	NA				
AT1G12000	NA	-1.4	-2.8	-6.2	NA	NA				
AT1G12010	5.3	7.1	4.2	NA	NA	NA				
AT1G12013	-1.7	NA	NA	NA	NA	NA				
AT1G12020	-1.7	-1.2	NA	NA	NA	NA				
AT1G12030	NA	NA	4.4	4.6	NA	NA				
AT1G12060	NA	1.2	2.1	4.1	NA	NA				
AT1G12064	3.8	4.6	4.5	4.5	1.6	NA				
AT1G12070	2.4	2.8	2.8	1.4	NA	NA	1.2	1.5		1.1
AT1G12080	-3.1	-2.4	-4.3	-9.5	NA	NA	2.2			
AT1G12090	5.2	4.8	3.5	NA	2.4	NA	1.3	2		
AT1G12110	1.2	2	1.6	2.8	NA	NA				
AT1G12130	NA	NA	3.4	8.8	NA	NA				
AT1G12140	NA	NA	NA	1.2	NA	NA				
AT1G12160	NA	NA	NA	1.7	NA	NA				
AT1G12200	4	4.3	3.3	NA	NA	NA	1.9	3.1		1.4
AT1G12210	NA	NA	NA	1.9	NA	NA				
AT1G12220	-1.6	NA	NA	NA	NA	NA				
AT1G12230	NA	NA	NA	-3	NA	NA				
AT1G12240	-4.2	-5.6	-4	-4.1	-1.1	NA				
AT1G12244	NA	NA	NA	NA	NA	NA	1.6			
AT1G12250	NA	NA	NA	-3	NA	NA				
AT1G12270	-2.9	-3.9	-3.9	-2.2	NA	NA				
AT1G12280	1.9	1.8	1.8	NA	NA	NA				
AT1G12290	1.6	NA	NA	NA	NA	NA				
AT1G12310	NA	-1.3	-1.5	-1.6	NA	NA				
AT1G12320	NA	NA	NA	4.1	NA	NA				
AT1G12340	NA	-2.9	NA	-4.6	NA	NA				
AT1G12370	-2.5	-2.3	-2.1	-1.4	NA	NA				
AT1G12380	NA	NA	-3.2	-8.8	NA	NA				
AT1G12410	-1.2	-1.5	-1.4	NA	NA	NA				
AT1G12430	NA	1.4	1.7	1.4	NA	NA				
AT1G12450	1.6	1.2	NA	NA	NA	NA				
AT1G12460	NA	NA	-1.6	-3.5	NA	NA				
AT1G12500	NA	NA	NA	-2.8	NA	NA				
AT1G12520	NA	NA	NA	1.6	NA	NA				
AT1G12550	NA	NA	NA	-1.3	NA	NA				
AT1G12570	NA	NA	2.4	NA	NA	NA				
AT1G12600	2.2	3	3	2.3	NA	NA				
AT1G12610	NA	4.3	4.4	NA	NA	NA				
AT1G12640	NA	NA	1.1	1.9	NA	NA				
AT1G12663	NA	3.1	5.4	6.1	NA	NA	-1.2			
AT1G12665	3.5	6.3	7.9	9	NA	NA	-1.5			
AT1G12672	NA	5	6	6.8	NA	NA				
AT1G12680	1.1	1.2	1.1	NA	NA	NA				
AT1G12710	NA	1.7	2.4	2.9	NA	NA				
AT1G12730	NA	-1.1	-1.3	-1.7	NA	NA				
AT1G12740	NA	NA	-3	-5.9	NA	NA				
AT1G12750	1.3	1.9	2.2	2.2	NA	NA				
AT1G12760	1.2	1.6	1.6	1.9	NA	NA				
AT1G12770	-1.4	NA	NA	NA	NA	NA				
AT1G12780	NA	NA	NA	1.3	NA	NA				
AT1G12800	-1.7	-2.5	-3.1	-4.4	NA	NA				
AT1G12805	2	2	NA	-3.6	NA	NA				
AT1G12810	2.2	2.3	1.4	2	NA	NA				
AT1G12820	NA	NA	NA	-1.3	NA	NA				
AT1G12830	-1.4	-1.5	-1.4	NA	NA	NA				
AT1G12845	7	7.6	7.3	6.4	2.9	NA				
AT1G12900	-1.1	-2.1	-3.4	-7.8	NA	NA				
AT1G12920	-1.2	-1.1	NA	NA	NA	NA				
AT1G12940	NA	NA	3.9	8	NA	NA				
AT1G13020	NA	NA	NA	-1.1	NA	NA				
AT1G13030	-1.1	NA	NA	-1.5	NA	NA				
AT1G13060	NA	-1.1	NA	NA	NA	NA				
AT1G13080	-2.9	NA	-3.3	-5.2	NA	NA				
AT1G13090	1.3	1.4	2.1	3.5	NA	NA				
AT1G13100	NA	NA	NA	3.3	NA	NA				
AT1G13145	NA	NA	NA	-1.5	NA	NA				
AT1G13150	1.4	1.9	1.6	1.4	NA	NA				
AT1G13170	NA	NA	-1.6	-5.3	NA	NA		1.3		
AT1G13180	NA	NA	NA	-2.8	NA	NA				
AT1G13195	NA	1.2	1.2	1.6	NA	NA				
AT1G13210	1.5	1.5	NA	NA	NA	NA		1.6		
AT1G13230	-1.4	-2.2	-1.1	-3.7	NA	NA				
AT1G13245	NA	NA	1.7	1.9	NA	NA				
AT1G13250	NA	NA	NA	-2.3	NA	NA				
AT1G13270	-3.9	-4.2	-3.9	-3.6	NA	NA				
AT1G13280	NA	NA	-2.6	-2.7	NA	NA				
AT1G13340	NA	2.6	3.7	6.2	1.1	NA				
AT1G13350	1.1	1.4	1.9	1.8	NA	NA				
AT1G13360	NA	1.8	1.9	2.7	NA	NA				
AT1G13380	NA	NA	NA	-2	NA	NA				
AT1G13390	2	2.4	2.7	3.3	NA	NA				
AT1G13400	-3.8	-4.3	-4.9	-6.4	NA	NA				
AT1G13410	-1.6	-1.3	NA	NA	NA	NA				
AT1G13420	-2.6	NA	NA	NA	NA	NA				
AT1G13440	NA	NA	NA	-2	NA	NA				
AT1G13450	NA	1.3	1.7	2	NA	NA				
AT1G13460	NA	NA	1.2	1.8	NA	NA				
AT1G13530	2.5	2.6	2.1	NA	NA	NA		1.9		
AT1G13570	1.1	1.1	1.2	NA	NA	NA				
AT1G13590	-1.9	-1.8	NA	2.4	NA	1.3	1.2			
AT1G13605	-4.7	-5.5	-5.8	-5.8	-1.2	NA				
AT1G13607	-8.1	-9.1	-9.6	-9.9	-1.3	NA				
AT1G13608	NA	NA	NA	NA	NA	NA	1.6			
AT1G13609	-5.5	-5.9	-5.3	-6.2	-1.4	NA	6.4	1.4		
AT1G13610	NA	NA	NA	NA	NA	NA	1.3			
AT1G13620	1.7	1.9	1.5	-2	NA	1.8	4.3	3.6		
AT1G13630	NA	NA	1.4	1.6	NA	NA				
AT1G13640	NA	NA	NA	2	NA	NA				
AT1G13690	-1.3	-1.5	-1.3	NA	NA	NA				
AT1G13710	-1.2	-1.8	-3.3	-5.8	NA	NA	1.7			
AT1G13730	-1.2	-1.6	-2.1	-2.9	NA	NA				
AT1G13740	NA	NA	NA	1.8	NA	NA				
AT1G13750	NA	NA	-1.1	-2.6	NA	NA				
AT1G13755	-4.4	-5.6	-5.2	-5.8	-1.9	NA				
AT1G13790	NA	NA	-1.6	-3.6	NA	NA	-1.1			
AT1G13800	-1.1	-1.3	NA	NA	NA	NA				
AT1G13810	-1.1	NA	NA	1.2	NA	NA				
AT1G13820	NA	NA	1.3	2	NA	NA				
AT1G13860	NA	NA	NA	-2	NA	NA				
AT1G13900	NA	1.1	NA	NA	NA	NA				
AT1G13920	NA	2.3	NA	NA	NA	NA				
AT1G13930	2.8	2.5	2.2	NA	NA	NA				
AT1G13950	-2.4	NA	-3.5	NA	NA	NA				
AT1G13960	NA	1.2	2.6	5.1	NA	NA	-1.6			
AT1G13970	NA	NA	NA	-2.6	NA	NA				
AT1G13980	NA	NA	NA	-1.8	NA	NA				
AT1G13990	NA	4.7	6.3	7.4	NA	NA	-1.2			
AT1G14010	1.5	1.2	NA	NA	NA	NA				
AT1G14030	-1.4	-2.4	-3.5	-5	NA	NA				
AT1G14040	-1.6	-1.5	-1.1	-1.2	NA	NA				
AT1G14060	-3	-2.5	-1.9	NA	-1.1	NA				
AT1G14070	1.2	1.1	NA	NA	NA	NA				
AT1G14090	NA	NA	1.2	1.4	NA	NA				
AT1G14120	NA	NA	NA	6.5	NA	NA				
AT1G14130	NA	NA	1.2	2.8	NA	NA				
AT1G14140	NA	NA	NA	-1.2	NA	NA				
AT1G14170	3.1	3.7	4.1	3.8	NA	NA				
AT1G14180	-1.1	-1.8	-2.7	-5.4	NA	NA				
